,Movies Names,Ratings,Metascore,votes,Gross
313,314.Training'JohnWick'(2017Video),7.6,,20474,
314,315.Newton(2017),7.6,,20323,
315,316.Naked(I)(2017),5.4,36,20075,
316,317.FatherFigures(2017),5.5,22,20057,17.50M
317,318.AbductedinPlainSight(2017),6.8,,20013,
318,319.TheDawnWall(2017),8.1,81,19902,1.08M
319,320.Feud(2017–),8.4,,19878,
320,321.AChristmasPrince(2017),5.8,,19859,
321,322.OnceUponaTimeinVenice(2017),5.3,28,19801,
322,323.StrangerThings(2016–)Episode:ChapterOne:MADMAX(2017),8.2,,19794,
323,324.UnicornStore(2017),5.6,44,19682,
324,325.MyCousinRachel(2017),6.0,63,19648,2.68M
325,326.StrangerThings(2016–)Episode:ChapterSix:TheSpy(2017),9.1,,19565,
326,327.Security(I)(2017),5.7,,19531,
327,328.TocToc(2017),6.8,,19529,
328,329.HotSummerNights(2017),6.3,44,19513,
329,330.RickandMorty(2013–)Episode:PickleRick(2017),9.3,,19402,
330,331.TheParty(I)(2017),6.5,73,19171,0.75M
331,332.TheRider(2017),7.4,91,19158,2.42M
332,333.TheHeroes(2008–)Episode:KnightinBlack(2017),8.9,,18908,
333,334.Genius(I)(2017–),8.2,,18759,
334,335.FirstTheyKilledMyFather(2017),7.1,72,18689,
335,336.ElChapo(2017–2018),7.8,,18672,
336,337.Masum(2017),8.3,,18662,
337,338.Snowfall(2017–),8.2,,18605,
338,"339.StrangerThings(2016–)Episode:ChapterTwo:TrickorTreat,Freak(2017)",8.3,,18483,
339,340.Columbus(I)(2017),7.2,89,18330,1.02M
340,341.StrangerThings(2016–)Episode:ChapterFive:DigDug(2017),8.8,,18275,
341,342.Girlboss(2017),7.0,,18273,
342,343.DerHauptmann(2017),7.3,67,18245,0.11M
343,344.Brad'sStatus(2017),6.5,71,18148,2.13M
344,345.Workin'Moms(2017–2023),7.8,,18133,
345,346.StrangerThings(2016–)Episode:ChapterThree:ThePollywog(2017),8.5,,18109,
346,347.Mugennojûnin(2017),6.7,72,18039,0.15M
347,348.StrangerThings(2016–)Episode:ChapterFour:WilltheWise(2017),8.5,,17881,
348,349.TheHitman'sBodyguard:TheHitmanvs.TheBodyguard(2017Video),6.9,,17505,
349,350.Kodachrome(2017),6.8,57,17430,
350,351.Koombiyo(2017–2018),9.0,,17418,
351,352.SandyWexler(2017),5.2,40,17389,
352,353.Hangman(II)(2017),5.2,31,17354,
353,354.Gypsy(2017),6.8,,17108,
354,355.HHhH(2017),6.4,,17099,
355,356.TheMick(2017–2018),7.8,,17074,
356,357.12FeetDeep(2017),5.3,,17074,
357,358.L'insulte(2017),7.6,72,17072,1.00M
358,359.Newness(2017),6.3,50,17070,
359,360.Radius(2017),6.2,,16953,
360,361.BrigsbyBear(2017),7.3,67,16943,0.53M
361,362.ElectricDreams(2017–2018),7.2,,16887,
362,363.Churchill(2017),6.1,44,16839,1.28M
363,364.Rememory(2017),6.1,48,16835,
364,365.OneDayataTime(2017–2020),8.2,,16682,
365,366.HowtoBeaLatinLover(2017),6.0,54,16448,32.09M
366,367.RecepIvedik5(2017),3.3,,16369,
367,368.Britannia(2017–),6.8,,16363,
368,369.Çukur(2017–2021),7.5,,16304,
369,370.Aterrados(2017),6.4,,16298,
370,371.TheManWhoInventedChristmas(2017),7.0,60,16250,5.68M
371,372.Elguardiáninvisible(2017),6.4,,16219,
372,373.ColdSkin(2017),6.0,,16184,
